KEY,en_US,fr_FR,de_DE
video,video,vidéo,Video
type,type,type,Typ
timeline,Timeline,Chronologie,Zeitleiste
themes,Themes,Thèmes,Themen
theme,theme,thème,Thema
terms of use,Terms of use,conditions d'utilisation,Nutzungsbedingungen
steel-plant,steel plant,usine,Stahlwerk
start,start,commencer,start
shelter,shelter,abris,Schutz
see today map,see current map,voir la carte actuelle,siehe aktuelle Karte
see also,see also,voir également,siehe auch
see 1914 borders,see 1914 borders,voir les frontières du 1914,siehe die Grenzen von 1914
search here,search,recherche,suche
resources,Resources,Ressources,Ressourcen
reset,reset,reset,zurücksetzen
remembering the great war in luxembourg,Remembering the Great War in Luxembourg,La Grande Guerre au Luxembourg,Erinnerungen an den Ersten Weltkrieg in Luxemburg
publishing date,publication date,date de publication,Veröffentlichungsdatum
period,period,période,Zeitraum
other,other,autre,andere
physical object,object,objet,Gegenstand
menu,menu,menu,Menü
memorial,memorial,mémorial,Denkmal
map,Map,Carte,Karte
items shown,items shown,éléments affichés,angezeigte Objekte
include,include,inclure,beziehe
image,image,image,Bild
hospital,hospital,hôpital,Krankenhaus
home,Home,Accueil,Startseite
follow the,follow the,suivre la,folge der
filters,filters,filtres,Filter
explore the,explore the,explorer la,erforsche die
education,Education,Éducation,Bildung
download file only,download file only,télécharger le fichier seul,nur Datei herunterladen
download file and data,download file and data,télécharger le fichier et les données,Datei und Daten herunterladen
download,download,télécharger,herunterladen
discover the,discover the,découvrir les,entdecke die
correspondence,correspondence,correspondance,Korrespondenz
collection,Collection,Collection,Sammlung
close,close,fermer,schließen
chapters,chapters,chapitres,Kapitel
chapter,chapter,chapitre,Kapitel
cemetery,cemetery,cimetière,Friedhof
browse the,browse the,parcourir la,durchsuche die
bombing,bombed site,lieu bombardé,bombardierter Ort
audio,audio,audio,audio
additional information,additional information,infos complémentaires,zusätzliche Informationen
about,About,à propos,Über
(e.g: postcard),(e.g. postcard),(exemple: carte postale),(z.B. Ansichtskarte)
(e.g: bombing),(e.g. bombed site),(exemple: lieu bombardé),(z.B. bombardierter Ort)
archive_id,ID,ID,ID
Be creative,be creative,Phase créative,Kreativer Beitrag
copyright,copyright,copyright,Copyright
creator,creator,créateur,Urheber
did you use our manuals? tell us more!,did you use our dossiers? tell us more!,avez-vous utilisé nos dossiers ? Contactez-nous !,Dossiers benutzt? Kontaktieren Sie uns!
Discuss,discuss,"Discussion","Diskussion"
explore,explore,Exploration,Erkundung
Explore,explore,Exploration,Erkundung
explore the other themes,explore the other themes,explore les autres thèmes,Entdecke weitere Themen
Get started,get started,"Premiers pas",Anlaufphase
goals of the activity,goals of the activity,buts de l'activité,Ziele der Aktivität
introduction and pedagogical approach,introduction and pedagogical approach,"Introduction et approche pédagogique",Einleitung und pädagogischer Ansatz
items with uncertain dates,items with uncertain dates,objets avec datation incertaine,Objekte ohne gesichertes Datum ein
no documents found,no documents found,aucun document trouvé,keine Dokumente gefunden
organizers,organisers,organisateurs,Organisatoren
partner institutions,partner institutions,institutions partenaires,Partnerinstitutionen
pedagogical manual,pedagogical dossier,dossier pédagogique,pädagogisches Dossier
pedagogical manuals,pedagogical dossiers,dossiers pédagogiques,pädagogische Dossiers
pedagogical activities,pedagogical dossiers,dossiers pédagogiques,pädagogische Dossiers
provenance,provenance,origine,Herkunft
related objects,related objects,objets liés,verwandte Objekte
report,report,Rapport,Berichterstattung
Report,report,Rapport,Berichterstattung
Research,research,recherche,recherche
reset filters or change query,reset filters or change query,remettre les filtres à zéro ou changer la requête,Filter zurücksetzen oder Anfrage ändern
show less,show less,montrer moins,zeige weniger
